experiment,Bee_ID,bee,Date_delivered,Date_tagged,Enclosure,Treatment_Type,Flower_Type,Test_Type,Treatment_date,Test_date
t3 rep 2,E7 2B 66 01 0B 00 00 00,E7-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,5,easy,6alternating,SI,7/4/18,7/5/18
t3 rep 2,C3 2B 66 01 0B 00 00 00,C3-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,6,hard,6alternating,SI,7/4/18,7/5/18
t3 rep 2,E8 2B 66 01 0B 00 00 00,E8-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,7,control,8pointy,SI,7/4/18,7/5/18
t3 rep 2,36 2E 66 01 0B 00 00 00,36-2E-66-01-0B-00-12-E0,6/12/18,7/3/18,8,hard,6round,SI,7/4/18,7/5/18
t3 rep 3,C8 2B 66 01 0B 00 00 00,C8-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,1,easy,6round,SI,7/4/18,7/5/18
t3 rep 3,DF 2B 66 01 0B 00 00 00,DF-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,2,hard,6round,SI,7/4/18,7/5/18
t3 rep 3,D8 2B 66 01 0B 00 00 00,D8-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,3,control,8pointy,SI,7/4/18,7/5/18
t3 rep 3,26 2E 66 01 0B 00 00 00,26-2E-66-01-0B-00-12-E0,6/12/18,7/3/18,5,easy,6alternating,SI,7/4/18,7/5/18
t3 rep 3,0B 2B 66 01 0B 00 00 00,0B-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,6,hard,6alternating,SI,7/4/18,7/5/18
t3 rep 3,EB 2B 66 01 0B 00 00 00,EB-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,7,control,8pointy,SI,7/4/18,7/5/18
t3 rep 3,E3 2B 66 01 0B 00 00 00,E3-2B-66-01-0B-00-12-E0,6/12/18,7/3/18,8,hard,6round,SI,7/4/18,7/5/18
t4 rep 1,33 2E 66 01 0B 00 00 00,33-2E-66-01-0B-00-12-E0,6/12/18,7/10/18,1,control,6round,SI,7/11/18,7/12/18
t4 rep 1,CA 2B 66 01 0B 00 00 00,CA-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,2,hard,6round,SI,7/11/18,7/12/18
t4 rep 1,CE 2B 66 01 0B 00 00 00,CE-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,3,easy,8pointy,SI,7/11/18,7/12/18
t4 rep 1,31 2C 66 01 0B 00 00 00,31-2C-66-01-0B-00-12-E0,6/12/18,7/10/18,4,control,4round,SI,7/11/18,7/12/18
t4 rep 1,CB 2B 66 01 0B 00 00 00,CB-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,5,hard,6alternating,SI,7/11/18,7/12/18
t4 rep 1,CD 2B 66 01 0B 00 00 00,CD-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,6,easy,6alternating,SI,7/11/18,7/12/18
t4 rep 1,28 2B 66 01 0B 00 00 00,28-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,7,easy,8pointy,SI,7/11/18,7/12/18
t4 rep 1,45 2E 66 01 0B 00 00 00,45-2E-66-01-0B-00-12-E0,6/12/18,7/10/18,8,hard,6round,SI,7/11/18,7/12/18
t4 rep 2,24 2B 66 01 0B 00 00 00,24-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,1,control,6round,SI,7/11/18,7/12/18
t4 rep 2,35 2E 66 01 0B 00 00 00,35-2E-66-01-0B-00-12-E0,6/12/18,7/10/18,2,hard,6round,SI,7/11/18,7/12/18
t4 rep 2,2B 2B 66 01 0B 00 00 00,2B-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,3,easy,8pointy,SI,7/11/18,7/12/18
t4 rep 2,15 2B 66 01 0B 00 00 00,15-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,4,control,4round,SI,7/11/18,7/12/18
t4 rep 2,D0 2B 66 01 0B 00 00 00,D0-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,5,hard,6alternating,SI,7/11/18,7/12/18
t4 rep 2,12 2B 66 01 0B 00 00 00,12-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,6,easy,6alternating,SI,7/11/18,7/12/18
t4 rep 2,DB 2B 66 01 0B 00 00 00,DB-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,7,easy,8pointy,SI,7/11/18,7/12/18
t4 rep 2,44 2E 66 01 0B 00 00 00,44-2E-66-01-0B-00-12-E0,6/12/18,7/10/18,8,control,6round,SI,7/11/18,7/12/18
t4 rep 3,46 2E 66 01 0B 00 00 00,46-2E-66-01-0B-00-12-E0,6/12/18,7/10/18,1,control,6round,SI,7/11/18,7/12/18
t4 rep 3,11 2B 66 01 0B 00 00 00,11-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,2,hard,6round,SI,7/11/18,7/12/18
t4 rep 3,D7 2B 66 01 0B 00 00 00,D7-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,3,easy,8pointy,SI,7/11/18,7/12/18
t4 rep 3,2A 2B 66 01 0B 00 00 00,2A-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,4,control,4round,SI,7/11/18,7/12/18
t4 rep 3,34 2E 66 01 0B 00 00 00,34-2E-66-01-0B-00-12-E0,6/12/18,7/10/18,5,hard,6alternating,SI,7/11/18,7/12/18
t4 rep 3,08 2B 66 01 0B 00 00 00,08-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,6,easy,6alternating,SI,7/11/18,7/12/18
t4 rep 3,4F 2C 66 01 0B 00 00 00,4F-2C-66-01-0B-00-12-E0,6/12/18,7/10/18,7,hard,8pointy,SI,7/11/18,7/12/18
t4 rep 3,C0 2B 66 01 0B 00 00 00,C0-2B-66-01-0B-00-12-E0,6/12/18,7/10/18,8,control,6round,SI,7/11/18,7/12/18
